Universe,Team,Abbrev,League,Division,Rivals,InterleagueRotation,RivalRot,IntraStaticID,IR1,IR2
MLB,Chicago White Sox,CWS,AL,Central,CHC,A,A,A,E,B
MLB,Cleveland Guardians,CLE,AL,Central,CIN,B,A,B,A,C
MLB,Detroit Tigers,DET,AL,Central,PIT,A,A,C,B,D
MLB,Kansas City Royals,KC,AL,Central,STL,B,A,D,C,E
MLB,Minnesota Twins,MIN,AL,Central,MIL,A,A,E,D,A
MLB,Baltimore Orioles,BAL,AL,East,WAS,B,A,A,E,B
MLB,Boston Red Sox,BOS,AL,East,ATL,A,A,B,A,C
MLB,New York Yankees,NYY,AL,East,NYM,B,A,C,B,D
MLB,Tampa Bay Rays,TB,AL,East,MIA,A,B,D,C,E
MLB,Toronto Blue Jays,TOR,AL,East,PHI,B,B,E,D,A
MLB,Houston Astros,HOU,AL,West,COL,A,B,A,E,B
MLB,Los Angeles Angels,LAA,AL,West,LAD,B,B,B,A,C
MLB,Oakland Athletics,OAK,AL,West,SF,A,B,C,B,D
MLB,Seattle Mariners,SEA,AL,West,SD,B,B,D,C,E
MLB,Texas Rangers,TEX,AL,West,ARI,A,B,E,D,A
MLB,Chicago Cubs,CHC,NL,Central,CWS,B,B,A,E,B
MLB,Cincinnati Reds,CIN,NL,Central,CLE,A,B,B,A,C
MLB,Milwaukee Brewers,MIL,NL,Central,MIN,B,B,C,B,D
MLB,St Louis Cardinals,STL,NL,Central,KC,A,B,D,C,E
MLB,Atlanta Braves,ATL,NL,East,BOS,B,B,E,D,A
MLB,Miami Marlins,MIA,NL,East,TB,A,A,A,E,B
MLB,New York Mets,NYM,NL,East,NYY,B,B,B,A,C
MLB,Philadelphia Phillies,PHI,NL,East,TOR,A,A,C,B,D
MLB,Pittsburgh Pirates,PIT,NL,East,DET,B,B,D,C,E
MLB,Washington Nationals,WAS,NL,East,BAL,A,B,E,D,A
MLB,Arizona Diamondbacks,ARI,NL,West,TEX,B,A,A,E,B
MLB,Colorado Rockies,COL,NL,West,HOU,A,A,B,A,C
MLB,Los Angeles Dodgers,LAD,NL,West,LAA,B,A,C,B,D
MLB,San Diego Padres,SD,NL,West,SEA,A,A,D,C,E
MLB,San Francisco Giants,SF,NL,West,OAK,B,A,E,D,A
